artifact_type,stage_id,path,commit,commit_subject,bytes
runtime,A7AB-4,runtime/a7ab4_materialization_preflight/a7ab4_blocker_matrix.csv,3c67dec,add crypto a7ab materialization and replay preflight,2
runtime,A7AB-4,runtime/a7ab4_materialization_preflight/a7ab4_candidate_materialization_summary.csv,3c67dec,add crypto a7ab materialization and replay preflight,174510
runtime,A7AB-4,runtime/a7ab4_materialization_preflight/a7ab4_family_materialization_summary.csv,3c67dec,add crypto a7ab materialization and replay preflight,382
runtime,A7AB-4,runtime/a7ab4_materialization_preflight/a7ab4_manifest.json,3c67dec,add crypto a7ab materialization and replay preflight,1056
runtime,A7AB-4,runtime/a7ab4_materialization_preflight/a7ab4_motif_materialization_summary.csv,3c67dec,add crypto a7ab materialization and replay preflight,869
runtime,A7AB-4,runtime/a7ab4_materialization_preflight/a7ab4_operator_coverage.csv,3c67dec,add crypto a7ab materialization and replay preflight,141
runtime,A7AB-5,runtime/a7ab5_numeric_replay_contract/a7ab5_authorization_matrix.json,3c67dec,add crypto a7ab materialization and replay preflight,737
runtime,A7AB-5,runtime/a7ab5_numeric_replay_contract/a7ab5_control_contract.csv,3c67dec,add crypto a7ab materialization and replay preflight,320
runtime,A7AB-5,runtime/a7ab5_numeric_replay_contract/a7ab5_label_contract.csv,3c67dec,add crypto a7ab materialization and replay preflight,144
runtime,A7AB-5,runtime/a7ab5_numeric_replay_contract/a7ab5_manifest.json,3c67dec,add crypto a7ab materialization and replay preflight,751
runtime,A7AB-5,runtime/a7ab5_numeric_replay_contract/a7ab5_pass_gates.csv,3c67dec,add crypto a7ab materialization and replay preflight,537
runtime,A7AB-5,runtime/a7ab5_numeric_replay_contract/a7ab5_replay_contract_queue.csv,3c67dec,add crypto a7ab materialization and replay preflight,41257
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_authorization_matrix.json,3c67dec,add crypto a7ab materialization and replay preflight,397
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_candidate_label_decisions.csv,3c67dec,add crypto a7ab materialization and replay preflight,139633
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_candidate_variant_metrics.csv,3c67dec,add crypto a7ab materialization and replay preflight,5887894
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_clue_queue.csv,3c67dec,add crypto a7ab materialization and replay preflight,6183
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_decision_counts.csv,3c67dec,add crypto a7ab materialization and replay preflight,156
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_eval_errors.csv,3c67dec,add crypto a7ab materialization and replay preflight,2
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_manifest.json,3c67dec,add crypto a7ab materialization and replay preflight,1161
runtime,A7AB-6,runtime/a7ab6_small_numeric_replay_preflight/a7ab6_ranked_decision_queue.csv,3c67dec,add crypto a7ab materialization and replay preflight,139633
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_authorization_matrix.json,3c67dec,add crypto a7ab materialization and replay preflight,384
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_clue_candidate_detail.csv,3c67dec,add crypto a7ab materialization and replay preflight,15833
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_clue_family_summary.csv,3c67dec,add crypto a7ab materialization and replay preflight,205
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_clue_label_summary.csv,3c67dec,add crypto a7ab materialization and replay preflight,519
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_clue_queue_input.csv,3c67dec,add crypto a7ab materialization and replay preflight,5969
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_manifest.json,3c67dec,add crypto a7ab materialization and replay preflight,706
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_pass_gates.csv,3c67dec,add crypto a7ab materialization and replay preflight,566
runtime,A7AB-7,runtime/a7ab7_clue_forensic_contract/a7ab7_required_forensic_tests.csv,3c67dec,add crypto a7ab materialization and replay preflight,833
runtime,A7AB-8,runtime/a7ab8_clue_forensic_execution/a7ab8_authorization_matrix.json,0a08edc,add crypto a7ab clue forensic,386
runtime,A7AB-8,runtime/a7ab8_clue_forensic_execution/a7ab8_clue_augmented.csv,0a08edc,add crypto a7ab clue forensic,15687
