seed_id,semantic_pair,operator,stale_risk_tier,metric_rows,clean_label_count,min_control_ratio,median_control_ratio,max_original_spread,median_original_spread,max_original_tstat,clean_label_families,clean_horizons,arbitration_status
a7ffcore48se_0271,volatility_like|volatility_like,WinsorZ,medium,8,0,1.0825157218408354,1.3170755652850956,0.0001729822623631,4.515231802773413e-05,1.9222153010296985,0,0,rejected
a7ffcore48se_1467,funding_like|volatility_like,Identity,medium,8,0,1.0349528502843148,1.3235167314136547,0.0005912857813148,0.0002726408650601,1.1250846216104258,0,0,rejected
a7ffcore48se_0412,generic_numeric|volatility_like,CSRank,medium,8,0,1.002194171052578,1.3388849587285965,0.0003298596401833,-2.074936655638436e-05,2.5170994995034017,0,0,rejected
a7ffcore48se_1594,state_or_taxonomy|volatility_like,WinsorZ,high,8,0,0.9988931096602078,1.3426364777898896,-2.0316325899077127e-05,-3.676274895731649e-05,-0.4030704117657031,0,0,rejected
a7ffcore48se_1592,state_or_taxonomy|volatility_like,SignedRankDelta,high,8,0,0.9988931096602078,1.3484013634593177,-2.0316325899077127e-05,-3.676274895731649e-05,-0.4030704117657031,0,0,rejected
a7ffcore48se_0196,positioning_like|state_or_taxonomy,CSRank,low,8,0,1.0,1.3527192838191504,9.306833224768813e-06,-3.6893637834187615e-05,0.2053961752016056,0,0,rejected
a7ffcore48se_0685,generic_numeric|volatility_like,Identity,high,8,0,1.0032984048785498,1.368410144577613,0.0001994566664923,6.0837052631881316e-05,1.3794719148302257,0,0,rejected
a7ffcore48se_1665,basis_premium_like|volatility_like,AbsDelta,high,8,0,1.0966954197164598,1.3707599196970237,1.1303875475496018e-05,-0.00014894730587000876,0.4154603922650498,0,0,rejected
a7ffcore48se_1154,funding_like|funding_like,CSRank,high,8,0,1.152746554002449,1.3926019672798562,0.002419496934728,0.00052234311366785,4.426214180914783,0,0,rejected
a7ffcore48se_0252,state_or_taxonomy|volatility_like,CSRank,low,8,0,1.0,1.394562650796526,3.631732184864501e-05,-4.2290181819584226e-05,0.2284739265278554,0,0,rejected
a7ffcore48se_1651,basis_premium_like|price_like,AbsDelta,low,8,0,0.9965191865151468,1.3956385536868987,1.1407962288959946e-05,-5.825413202697156e-05,0.0870835340579208,0,0,rejected
a7ffcore48se_0399,generic_numeric|price_like,CSRank,medium,8,0,1.0015764572618489,1.3956638803263353,0.0003344415406617,-1.995931660516052e-05,2.554672318706418,0,0,rejected
a7ffcore48se_0136,generic_numeric|state_or_taxonomy,SignedRankDelta,high,8,0,1.0487625560606233,1.3967413381608467,0.0001290610118326,7.984315428365953e-05,1.490553937623899,0,0,rejected
a7ffcore48se_0241,state_or_taxonomy,SignedRankDelta,high,8,0,1.0487625560606233,1.3967413381608467,0.0001290610118326,7.984315428365953e-05,1.490553937623899,0,0,rejected
a7ffcore48se_1585,state_or_taxonomy|state_or_taxonomy,SignedRankDelta,high,8,0,1.0487625560606233,1.3967413381608467,0.0001290610118326,7.984315428365953e-05,1.490553937623899,0,0,rejected
