blueprint_id,seed_lane,left_field,left_transform,operator,right_field,right_transform,label_family,label_horizon_h,expression,candidate_role,source_stage
core25e_S0_positioning_price_basis_b21ffa3f2c96ab,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_5df93dcf5c8e40,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_daf2736a062a24,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_6f2b9f15398263,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_60eba5690b01e8,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_5bce8f771b5f9d,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_701f3d934a0737,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_96f23576c1d135,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_89f05af8dd436e,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_4h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_92264142744c1c,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_f6e2a2309d7bc9,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_d0ec0fe7739a75,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_b6522f305f4f34,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_948ae3e12c570a,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_a5a5a51ed44630,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_f9c519004a6d36,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_e507e543b8e9c7,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_47ad29b5f11d5f,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,delta_24h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_trade_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_066b53cd2d04b7,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_7d2c00a101e145,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_634bafab8c92ab,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_1a58942cd0b619,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_e2ca61e983e023,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_f3a6ea3207f3ac,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_2b31e9b9f7ee41,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_cf35d76ba1923d,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_trade_basis_bps,zscore_168h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),ZScore(mark_trade_basis_bps))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
