object,candidate_id,expression,risk_variant,cost_tier,split,n,mean_hour,annualized_mean,std_hour,sharpe_proxy,sortino_proxy,hit_rate,additive_total,additive_max_dd,compounded_total,compounded_max_dd,min_hour,q01,q05,median,q95,month_count,positive_month_count,positive_month_rate,worst_month_sum,mean_gross_exposure,mean_turnover
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,2.1246431924069186e-05,0.18611874365484607,0.0028369991785858607,0.7009367799810273,0.9541688938557392,0.4637141280353201,0.15399413858565347,-0.6055802282622457,0.13308042253936891,-0.4572983828217704,-0.017536833536085865,-0.008108484157312489,-0.004135557096488501,0.0,0.004076530640878426,10,6,0.6,-0.48991902618870703,0.46002812238604923,0.027941584234346672
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,-0.00014555241497503393,-1.2750391551812972,0.002544394272549857,-5.3541071623782805,-9.202429550957138,0.4413265306122449,-0.0570565466702133,-0.13309799593389388,-0.056655322639915795,-0.12484023161652658,-0.006811594334626948,-0.005739745779526595,-0.004094886187211849,-0.00012959486570932266,0.0039072138164402415,1,0,0.0,-0.057056546670213315,0.4846938775510204,0.02909226190476191
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,train_2024,8736,2.012748875437269e-06,0.017631680148830476,0.003512217621620208,0.053636475003547214,0.061700783131057056,0.39972527472527475,0.017583374175819982,-0.8600670527246704,-0.03561550844036876,-0.5813184283706792,-0.02631904607934848,-0.011683050975585875,-0.005222356113407475,0.0,0.004888265079413496,12,8,0.6666666666666666,-0.6716296090148777,0.387738092186886,0.014128242197024287
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,validation_2025H1,4296,0.00018821897134900596,1.6487981890172922,0.0036656955525025156,4.805726556943162,6.221325373440901,0.5251396648044693,0.8085887009153295,-0.4905998135304983,1.1807083407578323,-0.3914084616894259,-0.032368091463635486,-0.010193963858936847,-0.00503834310760311,0.0001183047032896642,0.005255415776746028,6,5,0.8333333333333334,-0.31751410126963403,0.4895467163368332,0.029395365434541566
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,recent_oos_2025H2_2026Apr,7248,-6.695152310277489e-06,-0.0586495342380308,0.00284028071445447,-0.22062323558300423,-0.3013396307439713,0.45626379690949226,-0.04852646394489124,-0.6142723547962461,-0.07471003105119434,-0.4620004496593417,-0.017724333536085865,-0.008215058663177859,-0.0041468690228701885,0.0,0.004064499066103071,10,6,0.6,-0.49897735952204036,0.46002812238604923,0.027941584234346672
funding_persistence_h6,fundingcore_persist_h6,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,fresh_forward_2026May,392,-0.00017464467687979584,-1.5298873694670116,0.0025448614426063394,-6.423079010912501,-11.058132242794967,0.43112244897959184,-0.06846071333687997,-0.1397063292672272,-0.06735444343888486,-0.13060850520723744,-0.006811594334626948,-0.005739745779526595,-0.004162386187211849,-0.00019506084162564672,0.0038384638164402404,1,0,0.0,-0.06846071333687997,0.4846938775510204,0.02909226190476191
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,train_2024,8736,0.00010887168477880588,0.9537159586623395,0.004443776154037277,2.293056853102474,2.734274216340159,0.40796703296703296,0.9511030382276482,-1.2185297906698396,1.374623080283099,-0.7098853841413162,-0.03363020401202902,-0.01363845916860056,-0.006957037536416678,0.0,0.0063512607869186215,12,8,0.6666666666666666,-0.9478944748843735,0.36352913092216294,0.013637278528581303
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,validation_2025H1,4296,0.0002921686842290135,2.559397673846158,0.004567177048794046,5.987394447312774,7.576574356398428,0.529562383612663,1.255156667447842,-0.7533211845380551,2.353824550847784,-0.5337054123030939,-0.03606553080145407,-0.012744920439751619,-0.006772184688017266,0.00025289398868536325,0.007100016384902951,6,5,0.8333333333333334,-0.48458580719727395,0.45322074365818865,0.027444886107465982
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,recent_oos_2025H2_2026Apr,7248,0.00010198916520640395,0.8934250872080987,0.0038087659261735914,2.506235093638503,3.3872151856856982,0.470060706401766,0.7392174694160158,-1.2929094570721977,0.9872508168245677,-0.7281279988904641,-0.02300183724640025,-0.01102381947355973,-0.005654835868966222,0.0,0.005652855504100386,10,6,0.6,-1.0127492719591475,0.4501580656749575,0.02747486502720424
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,normal_5bp,fresh_forward_2026May,392,-0.00044107668914016734,-3.8638317968678657,0.003458186399721379,-11.937620283608545,-20.600771190578524,0.4030612244897959,-0.1729020621429456,-0.2609028836701952,-0.16077273198171682,-0.23017050675353834,-0.009728887711208768,-0.007984982222149242,-0.00512230321944017,-0.0005324601117235815,0.005135430412381823,1,0,0.0,-0.1729020621429456,0.4846938775510204,0.02909226190476191
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,train_2024,8736,0.00010205304551451529,0.8939846787071539,0.004443308057345968,2.1496690244283947,2.565043492282549,0.4068223443223443,0.8915354056148056,-1.2213715886034484,1.237355377179326,-0.7107080272602007,-0.03363020401202902,-0.01363845916860056,-0.0069658399562899445,0.0,0.0063481039463408155,12,8,0.6666666666666666,-0.9491043112276366,0.36352913092216294,0.013637278528581303
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,validation_2025H1,4296,0.0002784462411752805,2.439189072695457,0.004567289461879647,5.7060408417205455,7.228775205847531,0.5277001862197392,1.196205052089005,-0.7603062404688425,2.1618698029947483,-0.5369531484963268,-0.03606553080145407,-0.012804048878399194,-0.006773467454603907,0.0002509706093196627,0.007085899974363046,6,5,0.8333333333333334,-0.494445665269166,0.45322074365818865,0.027444886107465982
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,recent_oos_2025H2_2026Apr,7248,8.825173269280186e-05,0.7730851783889443,0.00380949856208173,2.1682406385122284,2.9340844644467445,0.4670253863134658,0.6396485585574279,-1.2970517617949697,0.7988927022595549,-0.729253377721242,-0.02300183724640025,-0.01102381947355973,-0.005660991018284549,0.0,0.005646755687829324,10,6,0.6,-1.0170011210769805,0.4501580656749575,0.02747486502720424
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,stress_10bp,fresh_forward_2026May,392,-0.0004556228200925483,-3.9912559040107234,0.0034562925776656225,-12.338064099356645,-21.265141682385703,0.3979591836734694,-0.17860414547627895,-0.26174038367019514,-0.16554451985951446,-0.2308164894519702,-0.009728887711208768,-0.007984982222149242,-0.00512230321944017,-0.0005349164980829036,0.005080101295163085,1,0,0.0,-0.17860414547627892,0.4846938775510204,0.02909226190476191
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,train_2024,8736,8.841576698593399e-05,0.7745221187967818,0.004442695161586929,1.8626671563745563,2.2250408779330306,0.4055631868131868,0.7724001403891194,-1.2270551844706663,0.9861386878686857,-0.7123465226842458,-0.03363020401202902,-0.01363845916860056,-0.00697327861350215,0.0,0.006338263228178739,12,7,0.5833333333333334,-0.9515239839141628,0.36352913092216294,0.013637278528581303
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,validation_2025H1,4296,0.0002510013550678145,2.198771870394055,0.004568128171892556,5.1426839897346674,6.531683005131708,0.5235102420856611,1.0783018213713311,-0.7742763523304186,1.8102501897152834,-0.5433814902003373,-0.03606553080145407,-0.012810101232110134,-0.006814564246867582,0.0002093794590113335,0.007083762353281411,6,5,0.8333333333333334,-0.5141653814129501,0.45322074365818865,0.027444886107465982
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,recent_oos_2025H2_2026Apr,7248,6.077686766559758e-05,0.5324053607506348,0.003811762826796991,1.4923287169723594,2.023836202746474,0.4630242825607064,0.44051073684025127,-1.3053363712405126,0.4740052539540507,-0.7314904455426636,-0.02300183724640025,-0.01102381947355973,-0.0056834918050908696,0.0,0.005604943956849522,10,6,0.6,-1.0255048193126464,0.4501580656749575,0.02747486502720424
funding_persistence_h12,fundingcore_persist_h12,ZScore(funding_rate_persistence_3),R3_vol_target_gross_0p5x_cap,severe_20bp,fresh_forward_2026May,392,-0.00048471508199731024,-4.246104118296437,0.00345326966290091,-13.137359753819684,-22.694122254354813,0.3979591836734694,-0.1900083121429456,-0.26341538367019524,-0.1750079137170294,-0.23210692801951582,-0.009728887711208768,-0.008020855952962362,-0.00512230321944017,-0.0005608965133128815,0.00496326922404483,1,0,0.0,-0.1900083121429456,0.4846938775510204,0.02909226190476191
