checkpoint_id,cell_id,strict_count,normal_count,control_count,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_field_families,pre_may_pass_normal_count,pre_may_pass_normal_rate,post_may_candidate_v3_count_stress_only,post_may_candidate_v3_rate_stress_only,negative_control_research_like_count,raw_validation_fail_rate,raw_recent_fail_rate,cost20_recent_fail_rate,lag1_recent_fail_rate,residual_funding_recent_fail_rate,may_stress_veto_rate_stress_only,liquidity_volatility_share,policy_uses_may,recommended_action,priority,w2_registry_candidate,primary_reason,registry_score_non_may,registry_tier,registry_rank,liquidity_volatility_cell,may_used_for_registry_score,may_used_for_registry_selection,quarantine_status
2,C0082,24,24,0,H01_cross_symbol_relative_strength,P12_liquidity_flow,SubRank,H72,same_symbol_zscore,none,lag_stable,F6_cross_symbol_dispersion,flow;liquidity,5,0.2083333333333333,0,0.0,0,0.5833333333333334,0.3333333333333333,0.375,0.3333333333333333,0.3333333333333333,0.7083333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.21458333333333335,primary_control_clean_non_may_robust,50,False,False,False,allowed_control_clean
6,C0368,24,24,0,H03_basis_premium_residual,P1_range_volatility,CrossSymbolRank,spread_6_vs_24,cross_symbol_zscore,Core4,low_turnover,F11_cross_symbol_crowding,volatility,7,0.2916666666666667,1,0.0416666666666666,0,0.5,0.5,0.5,0.5,0.4166666666666667,0.9166666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.26249999999999996,primary_control_clean_non_may_robust,51,False,False,False,allowed_control_clean
1,C0048,24,24,0,H05_volatility_structure_ex_liquidity_mul,P7_cross_symbol_relative,DecayZScore,spread_12_vs_48,cross_symbol_rank,FundingCore,low_turnover,F11_cross_symbol_crowding,basis;price,5,0.2083333333333333,0,0.0,0,0.4583333333333333,0.3333333333333333,0.4583333333333333,0.3333333333333333,0.4583333333333333,0.8333333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.2625,primary_control_clean_non_may_robust,52,False,False,False,allowed_control_clean
3,C0183,24,24,0,H00_low_turnover_robust,P11_volatility_basis,RollingMaxRank,ensemble_6_12_24_48,same_symbol_rank,FundingCore,low_turnover,F4_basis_dislocation,basis;volatility,7,0.2916666666666667,0,0.0,0,0.4583333333333333,0.4583333333333333,0.5,0.4583333333333333,0.5416666666666666,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.27083333333333326,primary_control_clean_non_may_robust,53,False,False,False,allowed_control_clean
4,C0251,24,24,0,H05_volatility_structure_ex_liquidity_mul,P14_horizon_spread,ResidualizeVsCore4,H72,cross_symbol_zscore,none,lag_stable,F7_trend_reversal,price;volatility,7,0.2916666666666667,3,0.125,0,0.4583333333333333,0.4583333333333333,0.5,0.4583333333333333,0.5416666666666666,0.7916666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.27083333333333326,primary_control_clean_non_may_robust,54,False,False,False,allowed_control_clean
2,C0111,24,24,0,H12_horizon_ensemble_stability,P7_cross_symbol_relative,RollingMaxRank,H24,cross_symbol_zscore,Core4,low_turnover,F3_high_liquidity_high_vol,basis;price,6,0.25,1,0.0416666666666666,0,0.4166666666666667,0.4166666666666667,0.5,0.375,0.5833333333333334,0.75,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.28541666666666665,primary_control_clean_non_may_robust,55,False,False,False,allowed_control_clean
4,C0194,24,24,0,H10_range_breakout_failure,P11_volatility_basis,Rank,spread_6_vs_24,same_symbol_zscore,none,lag_stable,F9_liquidity_shock,basis;volatility,7,0.2916666666666667,0,0.0,0,0.4166666666666667,0.4583333333333333,0.5,0.4583333333333333,0.6666666666666666,0.9166666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.29791666666666666,primary_control_clean_non_may_robust,56,False,False,False,allowed_control_clean
1,C0004,24,24,0,H14_open_ast_cem_diversity,P2_liquidity,TSRankMul,H72,same_symbol_rank,none,low_turnover,F2_low_liquidity,liquidity,6,0.25,0,0.0,0,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.375,0.7083333333333334,0.625,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.3020833333333333,primary_control_clean_non_may_robust,57,False,False,False,allowed_control_clean
6,C0356,24,24,0,H08_trade_size_microstructure_lite,P7_cross_symbol_relative,MulRankRank,spread_12_vs_48,cross_symbol_zscore,FundingCore,low_turnover,F11_cross_symbol_crowding,basis;price,5,0.2083333333333333,0,0.0,0,0.4166666666666667,0.375,0.4583333333333333,0.3333333333333333,0.625,0.7916666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.30416666666666675,primary_control_clean_non_may_robust,58,False,False,False,allowed_control_clean
6,C0336,24,24,0,H00_low_turnover_robust,P14_horizon_spread,ResidualizeVsFundingCore,ensemble_6_12_24_48,same_symbol_zscore,Core4,low_turnover,F4_basis_dislocation,price;volatility,5,0.2083333333333333,1,0.0416666666666666,0,0.5416666666666666,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.5416666666666666,0.5833333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,-0.3291666666666667,primary_control_clean_non_may_robust,59,False,False,False,allowed_control_clean
