derived_feature_id,production_family,base_fields,base_field_families,transform,window_hours,requires_agg_features_available_mask,feature_available_lag_bars,cross_symbol_scope,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed
RollingMax_4h__agg_first_transact_time_ms,rolling_self_reproduction,agg_first_transact_time_ms,other,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_last_agg_trade_id,rolling_self_reproduction,agg_last_agg_trade_id,other,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_4h__agg_last_transact_time_ms,rolling_self_reproduction,agg_last_transact_time_ms,other,RollingMax,4,True,4,same_symbol,False,False,False
RollingMax_8h__agg_avg_underlying_trades_per_agg,rolling_self_reproduction,agg_avg_underlying_trades_per_agg,other,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_first_agg_trade_id,rolling_self_reproduction,agg_first_agg_trade_id,other,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_first_transact_time_ms,rolling_self_reproduction,agg_first_transact_time_ms,other,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_last_agg_trade_id,rolling_self_reproduction,agg_last_agg_trade_id,other,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_8h__agg_last_transact_time_ms,rolling_self_reproduction,agg_last_transact_time_ms,other,RollingMax,8,True,8,same_symbol,False,False,False
RollingMax_12h__agg_avg_underlying_trades_per_agg,rolling_self_reproduction,agg_avg_underlying_trades_per_agg,other,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_12h__agg_first_agg_trade_id,rolling_self_reproduction,agg_first_agg_trade_id,other,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_12h__agg_first_transact_time_ms,rolling_self_reproduction,agg_first_transact_time_ms,other,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_12h__agg_last_agg_trade_id,rolling_self_reproduction,agg_last_agg_trade_id,other,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_12h__agg_last_transact_time_ms,rolling_self_reproduction,agg_last_transact_time_ms,other,RollingMax,12,True,12,same_symbol,False,False,False
RollingMax_24h__agg_avg_underlying_trades_per_agg,rolling_self_reproduction,agg_avg_underlying_trades_per_agg,other,RollingMax,24,True,24,same_symbol,False,False,False
RollingMax_24h__agg_first_agg_trade_id,rolling_self_reproduction,agg_first_agg_trade_id,other,RollingMax,24,True,24,same_symbol,False,False,False
RollingMax_24h__agg_first_transact_time_ms,rolling_self_reproduction,agg_first_transact_time_ms,other,RollingMax,24,True,24,same_symbol,False,False,False
RollingMax_24h__agg_last_agg_trade_id,rolling_self_reproduction,agg_last_agg_trade_id,other,RollingMax,24,True,24,same_symbol,False,False,False
RollingMax_24h__agg_last_transact_time_ms,rolling_self_reproduction,agg_last_transact_time_ms,other,RollingMax,24,True,24,same_symbol,False,False,False
RollingMin_4h__agg_avg_underlying_trades_per_agg,rolling_self_reproduction,agg_avg_underlying_trades_per_agg,other,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_first_agg_trade_id,rolling_self_reproduction,agg_first_agg_trade_id,other,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_buy_sell_vwap_spread_bps,rolling_self_reproduction,agg_buy_sell_vwap_spread_bps,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_buy_vwap,rolling_self_reproduction,agg_buy_vwap,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_close_price,rolling_self_reproduction,agg_close_price,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_close_to_open_bps,rolling_self_reproduction,agg_close_to_open_bps,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_high_price,rolling_self_reproduction,agg_high_price,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_low_price,rolling_self_reproduction,agg_low_price,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_open_price,rolling_self_reproduction,agg_open_price,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_price_range_bps,rolling_self_reproduction,agg_price_range_bps,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_price_std,rolling_self_reproduction,agg_price_std,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_sell_vwap,rolling_self_reproduction,agg_sell_vwap,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
