blueprint_id,parent_subgraph_id,child_subgraph_id,arg_index,parent_expression,child_expression
a7ff55r3_d851888b8e735a0d,sg_618bfbeee2e5dcb9,sg_86f325cfbab2b0b1,0,,"Mean(taker_buy_sell_volume_ratio_last,8)"
a7ff55r3_d851888b8e735a0d,sg_86f325cfbab2b0b1,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_d851888b8e735a0d,sg_86f325cfbab2b0b1,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_7529bf416638cfc4,sg_ee23a01dd8f6c8de,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_7529bf416638cfc4,sg_ee23a01dd8f6c8de,sg_4d134bc072212ace,1,,24
a7ff55r3_de84a73ee821606b,sg_08f6a4d92e9c9d7e,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_de84a73ee821606b,sg_08f6a4d92e9c9d7e,sg_4d134bc072212ace,1,,24
a7ff55r3_f06178eabbdd575a,sg_5232e560094c7838,sg_08f6a4d92e9c9d7e,0,,"Mean(taker_buy_sell_volume_ratio_last,24)"
a7ff55r3_f06178eabbdd575a,sg_08f6a4d92e9c9d7e,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_f06178eabbdd575a,sg_08f6a4d92e9c9d7e,sg_4d134bc072212ace,1,,24
a7ff55r3_3a0e9749aa7715ab,sg_fada7d84e7b56875,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_3a0e9749aa7715ab,sg_fada7d84e7b56875,sg_c097638f92de80ba,1,,72
a7ff55r3_ba5ae69eba114f24,sg_9950a9b72bdaa196,sg_7624d257c7c0cfb3,0,,taker_buy_sell_volume_ratio_last
a7ff55r3_ba5ae69eba114f24,sg_9950a9b72bdaa196,sg_c097638f92de80ba,1,,72
a7ff55r3_618fb53973f8b965,sg_0e2e8b3fa24b4e06,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_618fb53973f8b965,sg_0e2e8b3fa24b4e06,sg_1b6453892473a467,1,,4
a7ff55r3_f44c64458053b250,sg_dcac2086b7525a8e,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_f44c64458053b250,sg_dcac2086b7525a8e,sg_1b6453892473a467,1,,4
a7ff55r3_297e078a3393cd98,sg_bfcb20ff6a1da7cf,sg_dcac2086b7525a8e,0,,"Mean(taker_buy_sell_volume_ratio_mean,4)"
a7ff55r3_297e078a3393cd98,sg_dcac2086b7525a8e,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_297e078a3393cd98,sg_dcac2086b7525a8e,sg_1b6453892473a467,1,,4
a7ff55r3_e4960029108a299c,sg_14bb305035367bea,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_e4960029108a299c,sg_14bb305035367bea,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_47aa38c6d5bcf563,sg_e58e26c2d98fff59,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_47aa38c6d5bcf563,sg_e58e26c2d98fff59,sg_fe5dbbcea5ce7e29,1,,8
