blueprint_id,expression,a7input_queue,semantic_pair,motif,skeleton_key,production_key,row_count,label_family_count,horizon_count,dominant_decision,dominant_decision_share,median_control_ratio,min_control_ratio,median_positive_split_count,max_positive_split_count,max_recent_spread,max_cost5_recent,best_label_family,best_label_horizon_h,best_decision
a7ff24r_acdf1de7772e8224,"Delta(mark_index_basis_bps,336)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_6e02108b85d35043,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.75,1.4711931884518068,1.0,2.0,3,0.0384198411164589,0.0374198411164589,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_2c903d264aee7ca3,"SafeDiv(mark_index_basis_bps,Abs(realized_vol_168h))",ordinary_alpha,basis_premium_like|volatility_like,safe_div_abs,skel_d9d4f69744bac825,prod_1503fe9d84bf5159,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,1.7079252271123375,1.0,1.0,3,0.0382323406692962,0.0372323406692962,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_389e925b81a0c645,"Mean(Mul(Delta(mark_index_basis_bps,1),realized_vol_168h),4)",ordinary_alpha,basis_premium_like|volatility_like,smooth_mul,skel_8184698cb7b24c02,prod_2c38545ca7dfde48,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.5625,1.9608924631904614,1.0,2.0,3,0.0380673284364258,0.0370673284364258,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_610c51dfffdc8f01,"Mul(Delta(mark_index_basis_bps,4),realized_vol_168h)",ordinary_alpha,basis_premium_like|volatility_like,mul,skel_0994b3a36a4d53ba,prod_c76122b7ef747b2d,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.5625,1.6095288668568721,1.0,2.0,3,0.0375073199151965,0.0365073199151965,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_7a6f873cfe7bc14d,"Mul(Delta(mark_index_basis_bps,4),realized_vol_24h)",interaction_alpha,basis_premium_like|volatility_like,mul,skel_0994b3a36a4d53ba,prod_56c1228a698d6d85,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.75,3.6229609161228433,1.0,2.0,3,0.0364267769636479,0.0354267769636479,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_47bcb06b0eb1f42a,"Mul(Delta(premium_close_bps,2),realized_vol_24h)",ordinary_alpha,basis_premium_like|volatility_like,mul,skel_0994b3a36a4d53ba,prod_c8f209f686271253,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.4375,1.0062459810727362,0.9923122329839186,3.0,3,0.0330898377655883,0.0320898377655883,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_48f9f812cd8214e5,"Mul(mark_index_basis_bps,Sign(Mean(premium_close_bps,8)))",ordinary_alpha,basis_premium_like|basis_premium_like,gated_sign,skel_a2f58ee62d9e7ad2,prod_ee6ee7477bab517b,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.75,1.7729836451041443,1.0357959268768062,2.0,3,0.0327431739101936,0.0317431739101936,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_36473bbc00718694,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(premium_close_bps,8))))",ordinary_alpha,basis_premium_like|basis_premium_like,safe_div_abs,skel_c80f62c274b367a9,prod_ee519c7785ec23fb,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,1.333115432391172,1.0066415395556183,1.0,3,0.030787842569228,0.029787842569228,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_145e2d58adad4f4a,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(premium_close_bps,12))))",ordinary_alpha,basis_premium_like|basis_premium_like,safe_div_abs,skel_c80f62c274b367a9,prod_a2a821b38144a644,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,1.7222483969567182,1.0048936533129136,1.0,3,0.0284453509457618,0.0274453509457618,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_129519e7eda158fa,"SafeDiv(mark_index_basis_bps,Abs(Delta(trade_return_1h,4)))",ordinary_alpha,basis_premium_like|price_like,safe_div_abs,skel_a2f58ee62d9e7ad2,prod_bcab1394e675cb36,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,1.7302213768154333,1.0,1.0,3,0.0269371346948146,0.0259371346948146,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_1e349d20bff26d23,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(premium_close_bps,4))))",ordinary_alpha,basis_premium_like|basis_premium_like,safe_div_abs,skel_c80f62c274b367a9,prod_73f874da0dc71d52,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,1.6115050351658147,1.008563217132432,1.0,3,0.0255736783985181,0.0245736783985181,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_83417b3871e08795,"SafeDiv(mark_index_basis_bps,Abs(Delta(trade_return_1h,8)))",interaction_alpha,basis_premium_like|price_like,safe_div_abs,skel_a2f58ee62d9e7ad2,prod_9824338390b1ea18,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,1.9298717846558597,1.0094058614421282,1.0,3,0.0251294399602031,0.0241294399602031,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_5c84c80e5b76b421,"Sub(index_close,trade_close)",ordinary_alpha,basis_premium_like|price_like,sub,skel_337820bc5afcf6cc,prod_54032e134082777f,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,1.4171568819978797,1.0012361293772196,1.0,3,0.024945743986088,0.023945743986088,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_5ee045650ebd8b30,"SafeDiv(mark_index_basis_bps,Abs(Mean(trade_return_1h,2)))",ordinary_alpha,basis_premium_like|price_like,safe_div_abs,skel_a2f58ee62d9e7ad2,prod_14431f2cac7231a5,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,1.3123811234532166,1.00404766932063,1.0,3,0.0246464758834137,0.0236464758834137,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_0386a2799693d3f8,"Mul(realized_vol_168h,Sign(Delta(trade_return_1h,8)))",ordinary_alpha,price_like|volatility_like,gated_sign,skel_a2f58ee62d9e7ad2,prod_2008f8c8ea566382,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.5625,2.7420476303881287,1.0,2.0,3,0.0239893437541909,0.0229893437541909,L5_vol_adjusted,8,HOLD_CORE56_PREMAY_UNSTABLE
