blueprint_id,semantic_pair,motif,label_family,label_horizon_h,score_no_may,control_ratio_premay_max,cost10_recent_oriented,robust_median_tstat_floor,skeleton_key,expression
a7ls29_303da9903b5d9e82,basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,24,91.13669140435132,0.9756096256112304,0.0851123010299625,2.2483386795633367,basis_premium_like|age_x_volatility|positioning_like|seed_mul|5c4ab312651c,"CSRank(Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(top_global_account_divergence,72)))))"
a7ls29_e854a2dff9e7b8ff,basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,24,91.13669140435132,0.9756096256112304,0.0851123010299625,2.2483386795633367,basis_premium_like|age_x_volatility|positioning_like|seed_mul|31577b713ecd,"Clip(Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(top_global_account_divergence,72)))),-3,3)"
a7ls29_45ac56c1ac5fbc86,basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,24,91.13669140435132,0.9756096256112304,0.0851123010299625,2.2483386795633367,basis_premium_like|age_x_volatility|positioning_like|seed_mul|617bbdb24c40,"ZScore(Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(top_global_account_divergence,72)))))"
a7ls29_20ce2453dde22bbc,basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,24,91.13669140435132,0.9756096256112304,0.0851123010299625,2.2483386795633367,basis_premium_like|age_x_volatility|positioning_like|seed_mul|7469aecb74db,"Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,24))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(top_global_account_divergence,72))))"
a7ls29_b0d1d4b7c6f6a73f,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,90.72863778796632,0.8696031261687549,0.084598240914135,2.5154389201489376,basis_premium_like|age_x_volatility|positioning_like|seed_sub|f0c6d21e9cf3,"Neg(ZScore(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,6))))"
a7ls29_01bfb8a086e6dc92,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,90.72863778796632,0.8696031261687549,0.084598240914135,2.5154389201489376,basis_premium_like|age_x_volatility|positioning_like|seed_sub|37265514b35e,"Neg(CSRank(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,6))))"
a7ls29_21bb96cb5fee73e0,basis_premium_like|age_x_volatility|positioning_like,seed_mul,L7_ranked_future_return,24,90.64992697431038,0.9523507774582558,0.0846022777517686,2.2340195242467384,basis_premium_like|age_x_volatility|positioning_like|seed_mul|7469aecb74db,"Mul(Mul(Abs(ZScore(Mean(basis_abs_168h,8))),Sign(ZScore(Mean(age_x_volatility,24)))),Abs(ZScore(Mean(top_global_account_divergence,72))))"
a7ls29_bb45654475eabcc5,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,90.44830206402771,0.9236321068004236,0.0843719341708281,2.4553343669354133,basis_premium_like|age_x_volatility|positioning_like|seed_sub|b2f9e63a39cd,"Clip(CSRank(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,6))),-3,3)"
a7ls29_eb5cd0bbe797d023,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,90.44830206402771,0.9236321068004236,0.0843719341708281,2.4553343669354133,basis_premium_like|age_x_volatility|positioning_like|seed_sub|3216cf61d4d1,"ZScore(ZScore(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,6))))"
a7ls29_c1f3b418b59134ae,basis_premium_like|age_x_volatility|positioning_like,seed_sub,L7_ranked_future_return,24,90.44830206402771,0.9236321068004236,0.0843719341708281,2.4553343669354133,basis_premium_like|age_x_volatility|positioning_like|seed_sub|ba025b0ec432,"CSRank(ZScore(Sub(Mul(Abs(ZScore(Mean(basis_abs_168h,12))),Sign(ZScore(Mean(age_x_volatility,12)))),Decay(top_global_account_divergence,6))))"
