seed_id,lane_id,field_primary,field_partner,semantic_type_primary,semantic_type_partner,semantic_pair,operator,operator_origin,window_h,expression,compiler_role,non_l7_evidence,operator_null_margin,role_gate_status,reject_reason,candidate_status,family_cap_status,motif_cap_status
a7ffcore48se_0058,N1_role_compatible_pair_seed,mark_trade_basis_bps,realized_vol_168h,basis_premium_like,volatility_like,basis_premium_like|volatility_like,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(realized_vol_168h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0059,N1_role_compatible_pair_seed,index_close,realized_vol_168h,basis_premium_like,volatility_like,basis_premium_like|volatility_like,Identity,native,4,"Mul(ZScore(index_close),Sign(Delta(realized_vol_168h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0060,N1_role_compatible_pair_seed,index_close,realized_vol_168h,basis_premium_like,volatility_like,basis_premium_like|volatility_like,SignedRankDelta,repaired_native_proxy,4,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(realized_vol_168h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0061,N1_role_compatible_pair_seed,index_close,realized_vol_168h,basis_premium_like,volatility_like,basis_premium_like|volatility_like,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(realized_vol_168h,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0062,N1_role_compatible_pair_seed,index_close,realized_vol_168h,basis_premium_like,volatility_like,basis_premium_like|volatility_like,WinsorZ,repaired_native_proxy,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(realized_vol_168h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0063,N3_control_repair_seed,funding_rate,,funding_like,,funding_like,AbsDelta,repaired_native_proxy,4,"Abs(Delta(funding_rate,4))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.607008666815867,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0064,N0_single_field_operator_seed,funding_rate,,funding_like,,funding_like,CSRank,native,4,CSRank(funding_rate),regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.607008666815867,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0065,N0_single_field_operator_seed,funding_rate_abs_168h,,funding_like,,funding_like,Delta,native,4,"Delta(funding_rate_abs_168h,4)",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.607008666815867,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0066,N0_single_field_operator_seed,funding_rate,,funding_like,,funding_like,Identity,native,4,ZScore(funding_rate),regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.607008666815867,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0067,N3_control_repair_seed,funding_rate,,funding_like,,funding_like,SignedRankDelta,repaired_native_proxy,4,"CSRank(Delta(funding_rate,4))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.607008666815867,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0068,N3_control_repair_seed,funding_rate,,funding_like,,funding_like,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(funding_rate,4)),ZScore(Mean(funding_rate,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.607008666815867,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0069,N3_control_repair_seed,funding_rate,,funding_like,,funding_like,WinsorZ,repaired_native_proxy,4,"Clip(ZScore(Delta(funding_rate,4)),-3,3)",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.607008666815867,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
